datetime,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,hour,day_of_week,month,hour_sin,hour_cos,us_aqi_lag1,us_aqi_lag6,us_aqi_lag24,us_aqi_diff,pm2_5_diff,ozone_per_humidity,pm2_5_temp_interaction,log_carbon_monoxide,log_ozone,log_sulphur_dioxide,log_nitrogen_dioxide,scaled_pm2_5,scaled_ozone,scaled_sulphur_dioxide,scaled_nitrogen_dioxide,scaled_temperature_2m,scaled_relative_humidity_2m,scaled_wind_speed_10m,scaled_pm2_5_diff,scaled_ozone_per_humidity,scaled_pm2_5_temp_interaction
17/05/2025 00:00,23.7,11.7,38.0,66,29.0,82,10.9,0.0,0.0,5.0,5.0,0.0,1.0,66.0,67.0,71.0,0.0,-1.6999999999999993,0.4578313253012048,524.9000000000001,5.365976015021851,3.6635616461296463,2.5416019934645457,3.2068032436339315,-1.0010622193163106,-1.086499892264324,-0.2905350236113608,1.4392932525643978,-0.7065975733050418,0.5980759405594489,-0.6261186946509273,-0.7451216602738713,-0.8796883092079731,-0.9588967370059872
17/05/2025 01:00,18.8,9.7,42.0,66,28.7,86,9.6,0.0,1.0,5.0,5.0,0.2588190451025207,0.9659258262890684,66.0,67.0,71.0,0.0,-1.400000000000002,0.4827586206896552,479.29,5.267858159063328,3.7612001156935615,2.3702437414678603,2.9856819377004897,-1.1714838970356167,-0.94204849108338,-0.6973490996154645,0.8329392967967811,-0.8700972808500653,0.9666996781674226,-0.9013167685099818,-0.6139287200891645,-0.8361008310337144,-1.1151015072206112
17/05/2025 02:00,14.7,8.2,46.0,66,28.4,87,9.3,0.0,2.0,5.0,5.0,0.4999999999999999,0.8660254037844387,66.0,67.0,70.0,0.0,-0.3000000000000007,0.5227272727272727,465.75999999999993,5.198497031265826,3.8501476017100575,2.2192034840549946,2.7536607123542622,-1.208002827975468,-0.7975970899024359,-1.0024596566185424,0.325581905236122,-1.0335969883950888,1.058855612569416,-0.9648240163236094,-0.132887939411901,-0.7662122722793061,-1.1614389450851992
17/05/2025 03:00,12.5,7.3,47.0,65,28.3,87,9.7,0.0,3.0,5.0,5.0,0.7071067811865475,0.7071067811865476,66.0,66.0,70.0,-1.0,-0.3999999999999986,0.5340909090909091,452.8,5.147494476813453,3.87120101090789,2.1162555148025524,2.602689685444384,-1.2566947358952696,-0.7614842396071999,-1.185525990820389,0.053341353666988,-1.0880968909100954,1.058855612569416,-0.8801476859054391,-0.1766189194734694,-0.7463419957706999,-1.2058242514211237
17/05/2025 04:00,11.1,6.9,48.0,65,28.2,86,10.3,0.0,4.0,5.0,5.0,0.8660254037844386,0.5000000000000001,65.0,66.0,70.0,0.0,-0.3000000000000007,0.5517241379310345,442.74,5.135798437050262,3.8918202981106265,2.066862759472976,2.4932054526026954,-1.2932136668351208,-0.7253713893119639,-1.2668888060212096,-0.1199026336951882,-1.1425967934251038,0.9666996781674226,-0.753133190278183,-0.132887939411901,-0.7155088080849316,-1.240277660505954
17/05/2025 05:00,12.3,7.5,47.0,64,28.1,86,8.0,0.0,5.0,5.0,5.0,0.9659258262890684,0.2588190451025207,65.0,66.0,71.0,-1.0,0.200000000000001,0.5402298850574713,446.79,5.220355825078325,3.87120101090789,2.1400661634962708,2.5877640352277083,-1.26886771287522,-0.7614842396071999,-1.1448445832199785,0.0285922126152486,-1.1970966959401104,0.9666996781674226,-1.240022090182664,0.0857669608959465,-0.7356074785763953,-1.2264072522759777
17/05/2025 06:00,12.4,9.7,49.0,64,28.4,85,7.2,0.0,6.0,5.0,5.0,1.0,6.123233995736766e-17,64.0,66.0,71.0,0.0,0.0999999999999996,0.5697674418604651,454.4,5.459585514144159,3.912023005428146,2.3702437414678603,2.5952547069568657,-1.2566947358952696,-0.689258539016728,-0.6973490996154645,0.0409667831411183,-1.0335969883950888,0.8745437437654292,-1.409374751019005,0.0420359808343765,-0.6839585695227499,-1.200344583972244
17/05/2025 07:00,12.4,12.8,53.0,64,28.9,81,8.9,0.0,7.0,5.0,5.0,0.9659258262890684,-0.2588190451025206,64.0,66.0,71.0,0.0,1.3000000000000007,0.6463414634146342,499.97,5.707110264748875,3.9889840465642745,2.624668592163159,2.5952547069568657,-1.098446035155914,-0.5448071378357839,-0.0667872818091035,0.0409667831411183,-0.7610974758200503,0.5059200061574555,-1.04950034674178,0.5668077415732093,-0.5500624351369062,-1.0442768054438425
17/05/2025 08:00,11.7,15.3,60.0,64,29.7,76,10.6,0.0,8.0,5.0,5.0,0.8660254037844387,-0.4999999999999998,64.0,66.0,71.0,0.0,0.8000000000000007,0.7792207792207793,537.57,5.823045895483019,4.110873864173311,2.791165107812717,2.5416019934645457,-1.0010622193163106,-0.292017185769132,0.4417303131960262,-0.0456552105399699,-0.3250982556999883,0.0451403341474882,-0.6896259424645553,0.3481528412653625,-0.3177117453707646,-0.9155046203951722
17/05/2025 09:00,9.6,16.9,75.0,64,30.6,71,12.8,0.0,9.0,5.0,5.0,0.7071067811865476,-0.7071067811865475,64.0,65.0,71.0,0.0,0.5999999999999979,1.0416666666666667,572.22,5.762051382780177,4.330733340286331,2.884800712846709,2.360854001118021,-0.9280243574366084,0.249675568659408,0.7671815739993088,-0.3055211915832342,0.1654008669350822,-0.4156393378624789,-0.223906125164617,0.2606908811422225,0.1411970216137134,-0.7968355722053739
